AB088224_left	0	S
AB088224_right_rc	0	H
AB597522_left	0	H
AB597522_right_rc	0	H
AB905437_left	1	S
AB905437_right_rc	1	H
AF038453	2	S
AF038454	2	H
AF038455	2	H
AF038456	2	H
AF038457_right_rc	2	H
AP017380_left	2	H
AP017380_right_rc	2	H
AP018517_left	0	H
AP018517_right_rc	0	H
AY044253	2	H
AY211023_left	2	H
AY211023_right_rc	2	H
AY225511_left	3	S
AY225511_right_rc	2	H
BA000030_left	2	H
BA000030_right_rc	2	H
CP002047_left	2	H
CP002047_right_rc	2	H
CP002476_left	4	S
CP002476_right_rc	5	S
CP003988_left	4	H
CP003988_right_rc	4	H
CP006259_left	2	H
CP006259_right_rc	2	H
CP006260_left	3	H
CP006260_right_rc	6	S
CP006261_left	7	S
CP006261_right_rc	8	S
CP009124_left	2	H
CP009124_right_rc	2	H
CP009438_left	2	H
CP009438_right_rc	2	H
CP009439_left	2	H
CP009439_right_rc	2	H
CP012382_left	2	H
CP012382_right_rc	2	H
CP013738_left	2	H
CP013738_right_rc	2	H
CP013739_left	2	H
CP013739_right_rc	2	H
CP015866_left	2	H
CP015866_right_rc	2	H
CP015867_left	2	H
CP015867_right_rc	2	H
CP023992_left	1	H
CP023992_right_rc	2	H
CP024985_left	9	S
CP024985_right_rc	9	H
CP024986_left	6	H
CP024986_right_rc	9	H
CP029624_left	2	H
CP029624_right_rc	2	H
CP048261_left	4	H
CP048261_right_rc	4	H
CP048262_left	4	H
CP048262_right_rc	4	H
CP107730_left	10	S
CP107730_right_rc	11	S
CP107731_left	2	H
CP107731_right_rc	2	H
CP107732_left	0	H
CP107732_right_rc	0	H
CP107733_left	12	S
CP107733_right_rc	12	H
CP107734_left	13	S
CP107734_right_rc	13	H
CP107735_left	2	H
CP107735_right_rc	2	H
CP107736_left	2	H
CP107736_right_rc	2	H
CP107737_left	14	S
CP107737_right_rc	14	H
CP107738_left	15	S
CP107738_right_rc	15	H
CP107739_left	16	S
CP107739_right_rc	16	H
CP107741_left	17	S
CP107741_right_rc	17	H
CP107742_left	2	H
CP107742_right_rc	2	H
CP107746_left	18	S
CP107746_right_rc	18	H
CP107747_left	19	S
CP107747_right_rc	19	H
CP107748_left	18	H
CP107748_right_rc	18	H
CP107749_left	17	H
CP107749_right_rc	17	H
CP107750_left	17	H
CP107750_right_rc	17	H
CP107755_left	17	H
CP107755_right_rc	17	H
CP107758_left	20	S
CP107758_right_rc	9	H
CP107759_left	21	S
CP107759_right_rc	22	S
CP107760_left	12	H
CP107760_right_rc	12	H
CP107761_left	23	S
CP107761_right_rc	23	H
CP107762_left	10	H
CP107762_right_rc	24	S
CP107763_left	25	S
CP107763_right_rc	26	S
CP107764_left	17	H
CP107764_right_rc	27	S
CP107765_left	28	S
CP107765_right_rc	28	H
CP107766_left	10	H
CP107766_right_rc	10	H
CP107768_left	10	H
CP107768_right_rc	10	H
CP107772_left	2	H
CP107772_right_rc	23	H
CP107773_left	29	S
CP107773_right_rc	29	H
CP107780_left	30	S
CP107780_right_rc	30	H
CP107782_left	12	H
CP107782_right_rc	12	H
CP107783_left	31	S
CP107783_right_rc	31	H
CP107784_left	2	H
CP107784_right_rc	2	H
CP107786_left	32	S
CP107786_right_rc	33	S
CP107787_left	34	S
CP107787_right_rc	35	S
CP107788_left	36	S
CP107788_right_rc	37	S
CP107789_left	38	S
CP107789_right_rc	39	S
CP107790_left	40	S
CP107790_right_rc	41	S
CP107791_left	18	H
CP107791_right_rc	18	H
CP107793_left	2	H
CP107793_right_rc	2	H
CP107794_left	2	H
CP107794_right_rc	2	H
CP107795_left	2	H
CP107795_right_rc	2	H
CP107796_left	0	H
CP107796_right_rc	0	H
CP107797_left	42	S
CP107797_right_rc	42	H
CP107798_left	17	H
CP107798_right_rc	43	S
CP107799_left	44	S
CP107799_right_rc	45	S
CP107800_left	13	H
CP107800_right_rc	46	S
CP107809_left	12	H
CP107809_right_rc	12	H
CP107811_left	9	H
CP107811_right_rc	9	H
CP107812_left	9	H
CP107812_right_rc	9	H
CP107813_left	30	H
CP107813_right_rc	30	H
CP107814_left	30	H
CP107814_right_rc	30	H
CP107815_left	14	H
CP107815_right_rc	14	H
CP107816_left	16	H
CP107816_right_rc	16	H
CP107819_left	47	S
CP107819_right_rc	47	H
CP107820_left	47	H
CP107820_right_rc	48	S
CP107823_left	6	H
CP107823_right_rc	6	H
CP107824_left	6	H
CP107824_right_rc	6	H
CP107834_left	49	S
CP107834_right_rc	50	S
CP107835_left	51	S
CP107835_right_rc	50	H
CP107836_left	52	S
CP107836_right_rc	52	H
CP107837_left	52	H
CP107837_right_rc	52	H
CP107838_left	29	H
CP107838_right_rc	29	H
CP107839_left	17	H
CP107839_right_rc	17	H
CP107841_left	2	H
CP107841_right_rc	2	H
CP107844_left	53	S
CP107844_right_rc	53	H
CP107845_left	54	S
CP107845_right_rc	54	H
CP107846_left	55	S
CP107846_right_rc	55	H
CP107847_left	54	H
CP107847_right_rc	54	H
CP107851_left	18	H
CP107851_right_rc	18	H
CP107855_left	56	S
CP107855_right_rc	57	S
CP107856_left	56	H
CP107856_right_rc	58	S
CP107857_left	59	S
CP107857_right_rc	59	H
CP107858_left	4	H
CP107858_right_rc	4	H
CP107859_left	60	S
CP107859_right_rc	4	H
CP107860_left	61	S
CP107860_right_rc	61	H
CP107861_left	2	H
CP107861_right_rc	2	H
CP107862_left	2	H
CP107862_right_rc	2	H
CP107863_left	10	H
CP107863_right_rc	10	H
CP107864_left	10	H
CP107864_right_rc	62	S
CP107865_left	53	H
CP107865_right_rc	53	H
CP107866_left	25	H
CP107866_right_rc	25	H
CP107867_left	17	H
CP107867_right_rc	17	H
CP107868_left	13	H
CP107868_right_rc	63	S
CP107869_left	64	S
CP107869_right_rc	65	S
CP107870_left	66	S
CP107870_right_rc	64	H
CP107871_left	31	H
CP107871_right_rc	31	H
CP107872_left	67	S
CP107872_right_rc	67	H
CP107873_left	68	S
CP107873_right_rc	69	S
CP107875_left	70	S
CP107875_right_rc	70	H
CP107876_left	69	H
CP107876_right_rc	69	H
CP107877_left	53	H
CP107877_right_rc	53	H
CP107878_left	17	H
CP107878_right_rc	17	H
CP107879_left	17	H
CP107879_right_rc	17	H
CP107880_left	2	H
CP107880_right_rc	2	H
CP107883_left	71	S
CP107883_right_rc	71	H
CP107884_left	30	H
CP107884_right_rc	30	H
CP107885_left	12	H
CP107885_right_rc	12	H
CP107887_left	68	H
CP107887_right_rc	68	H
CP107888_left	14	H
CP107888_right_rc	14	H
CP107889_left	17	H
CP107889_right_rc	17	H
CP107890_left	72	S
CP107890_right_rc	73	S
CP107891_left	74	S
CP107891_right_rc	75	S
CP107894_left	2	H
CP107894_right_rc	2	H
CP107895_left	76	S
CP107895_right_rc	2	H
CP107896_left	77	S
CP107896_right_rc	78	S
CP107897_left	79	S
CP107897_right_rc	79	H
CP107898_left	80	S
CP107898_right_rc	77	H
CP107899_left	81	S
CP107899_right_rc	82	S
CP107900_left	82	H
CP107900_right_rc	82	H
